Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
155,Ashis Marjit,KHARGRAM (SC),INC,1,10th Pass,Rs 960303,~ 9 Lacs+,Rs 25188,~ 25 Thou+
153,Dilip Kumar Ghosh,KHARAGPUR SADAR,BJP,1,Others,Rs 3029070,~ 30 Lacs+,Rs 0,~
8,Dhiman Roy,ASHOKNAGAR,AITC,1,Graduate,Rs 5020236,~ 50 Lacs+,Rs 0,~
262,Rabindranath Bhattacharya,SINGUR,AITC,1,Post Graduate,Rs 6786423,~ 67 Lacs+,Rs 0,~
84,Naresh Chandra Bauri,DUBRAJPUR (SC),AITC,1,Post Graduate,Rs 5474715,~ 54 Lacs+,Rs 0,~
179,Siddiqullah Chowdhury,MANGALKOT,AITC,1,Graduate,Rs 13925322,~ 1 Crore+,Rs 131680,~ 1 Lacs+
274,Ashok Kumar Dinda,TAMLUK,CPI,1,Graduate Professional,Rs 2184873,~ 21 Lacs+,Rs 0,~
112,Debes Mandal,HINGALGANJ (SC),AITC,1,Graduate,Rs 1804855,~ 18 Lacs+,Rs 50000,~ 50 Thou+
193,Abdur Rahaman,MURARAI,AITC,1,Graduate,Rs 39494623,~ 3 Crore+,Rs 3467272,~ 34 Lacs+
194,Shaoni Singha Roy,MURSHIDABAD,INC,1,Graduate,Rs 2847156,~ 28 Lacs+,Rs 1148000,~ 11 Lacs+
146,Rabindranath Chatterjee,KATWA,AITC,1,Graduate,Rs 15674547,~ 1 Crore+,Rs 0,~
255,Arindam Bhattacharya,SANTIPUR,INC,1,Post Graduate,Rs 10225555,~ 1 Crore+,Rs 0,~
196,Kanai Chandra Mondal,NABAGRAM (SC),CPI(M),1,Graduate,Rs 2287548,~ 22 Lacs+,Rs 0,~
10,Quazi Abdur Rahim,BADURIA,INC,1,Post Graduate,Rs 1015644,~ 10 Lacs+,Rs 0,~
106,Niamot Sheikh,HARIHARPARA,AITC,1,8th Pass,Rs 13337851,~ 1 Crore+,Rs 1496000,~ 14 Lacs+
237,Rama Biswas,RANAGHAT DAKSHIN (SC),CPI(M),1,Post Graduate,Rs 3102658,~ 31 Lacs+,Rs 0,~
49,Tusharkanti Bhattacharya,BISHNUPUR,INC,1,12th Pass,Rs 14434296,~ 1 Crore+,Rs 130000,~ 1 Lacs+
202,Suvendu Adhikari,NANDIGRAM,AITC,1,Post Graduate,Rs 6260742,~ 62 Lacs+,Rs 0,~
144,Swapan Kumar Beltharia,KASHIPUR,AITC,1,8th Pass,Rs 4987515,~ 49 Lacs+,Rs 1080000,~ 10 Lacs+
199,Kallol Khan,NAKASHIPARA,AITC,1,12th Pass,Rs 1197645,~ 11 Lacs+,Rs 44715,~ 44 Thou+
125,Snehasis Chakraborty,JANGIPARA,AITC,2,Post Graduate,Rs 3933044,~ 39 Lacs+,Rs 500000,~ 5 Lacs+
19,Subrata Mukherjee,BALLYGUNGE,AITC,2,Post Graduate,Rs 9478988,~ 94 Lacs+,Rs 0,~
2,Neeraj Tamang Zimba,DARJEELING : BYE ELECTION ON 19-05-2019,BJP,2,Post Graduate,Rs 6440811,~ 64 Lacs+,Rs 0,~
258,Jatu Lahiri,SHIBPUR,AITC,2,12th Pass,Rs 5450375,~ 54 Lacs+,Rs 0,~
257,Sonali Guha (bose),SATGACHIA,AITC,2,Graduate,Rs 14501232,~ 1 Crore+,Rs 150000,~ 1 Lacs+
3,Rafiqur Rahaman,AMDANGA,AITC,2,Graduate,Rs 5896796,~ 58 Lacs+,Rs 150000,~ 1 Lacs+
73,Bikram Chandra Pradhan,DANTAN,AITC,2,12th Pass,Rs 993817,~ 9 Lacs+,Rs 0,~
91,Mainul Haque,FARAKKA,INC,2,10th Pass,Rs 12492103,~ 1 Crore+,Rs 5171718,~ 51 Lacs+
43,Kamalesh Chatterjee,BHARATPUR,INC,2,12th Pass,Rs 895832,~ 8 Lacs+,Rs 0,~
130,Manturam Pakhira,KAKDWIP,AITC,2,10th Pass,Rs 802335,~ 8 Lacs+,Rs 0,~
210,Tapas Kumar Saha,PALASHIPARA,AITC,2,Graduate,Rs 2793519,~ 27 Lacs+,Rs 0,~
188,Abdul Khaleque Molla,METIABRUZ,AITC,2,12th Pass,Rs 2818215,~ 28 Lacs+,Rs 0,~
81,Udayan Guha,DINHATA,AITC,2,Graduate,Rs 31759056,~ 3 Crore+,Rs 1129071,~ 11 Lacs+
62,Amiyakanti Bhattacharjee,CHANDIPUR,AITC,2,12th Pass,Rs 4994862,~ 49 Lacs+,Rs 0,~
212,Jitendra Nath Tewari,PANDABESWAR,AITC,2,Graduate Professional,Rs 3787971,~ 37 Lacs+,Rs 2200000,~ 22 Lacs+
215,Phiroja Bibi,PANSKURA PASCHIM,AITC,2,8th Pass,Rs 1369174,~ 13 Lacs+,Rs 0,~
38,Paresh Paul,BELEGHATA,AITC,2,Graduate,Rs 10838040,~ 1 Crore+,Rs 0,~
78,Asima Patra,DHANEKHALI (SC),AITC,2,12th Pass,Rs 1872673,~ 18 Lacs+,Rs 510621,~ 5 Lacs+
34,Rafikul Islam Mondal,BASIRHAT UTTAR,CPI(M),2,Post Graduate,Rs 5157729,~ 51 Lacs+,Rs 0,~
159,Satyajit Biswas,KRISHNAGANJ (SC),AITC,2,12th Pass,Rs 2165724,~ 21 Lacs+,Rs 45047,~ 45 Thou+
230,Nepal Ghorui,RAINA (SC),AITC,2,Graduate,Rs 791261,~ 7 Lacs+,Rs 0,~
131,Wilson Champramary,KALCHINI (ST),AITC,2,8th Pass,Rs 5351808,~ 53 Lacs+,Rs 93492,~ 93 Thou+
143,Javed Ahmed Khan,KASBA,AITC,2,Graduate,Rs 172981869,~ 17 Crore+,Rs 301985861,~ 30 Crore+
109,Rafikul Islam,HARIRAMPUR,CPI(M),3,12th Pass,Rs 1935538,~ 19 Lacs+,Rs 0,~
198,Partha Bhowmick,NAIHATI,AITC,3,Post Graduate,Rs 13741658,~ 1 Crore+,Rs 4665718,~ 46 Lacs+
178,Joydeb Halder,MANDIRBAZAR (SC),AITC,3,10th Pass,Rs 1888725,~ 18 Lacs+,Rs 0,~
169,Manoj Tigga,MADARIHAT (ST),BJP,3,Graduate,Rs 610642,~ 6 Lacs+,Rs 482000,~ 4 Lacs+
53,Biswajit Das,BONGAON UTTAR (SC),AITC,3,10th Pass,Rs 2249337,~ 22 Lacs+,Rs 0,~
176,Bhupendra Nath Halder,MALDA (SC),INC,3,Graduate,Rs 2464457,~ 24 Lacs+,Rs 327646,~ 3 Lacs+
28,Sujit Chakraborty,BARJORA,CPI(M),3,Graduate,Rs 1948712,~ 19 Lacs+,Rs 1485000,~ 14 Lacs+
208,Abu Taher Khan,NOWDA,INC,3,12th Pass,Rs 4906800,~ 49 Lacs+,Rs 543000,~ 5 Lacs+
252,Amirul Islam,SAMSERGANJ,AITC,3,Graduate,Rs 4281847,~ 42 Lacs+,Rs 90750,~ 90 Thou+
14,Manoj Chakraborty,BAHARAMPUR,INC,3,Graduate,Rs 4850940,~ 48 Lacs+,Rs 90000,~ 90 Thou+
211,Gulsan Mullick,PANCHLA,AITC,3,12th Pass,Rs 9001170,~ 90 Lacs+,Rs 1228632,~ 12 Lacs+
40,Mahasin Ali,BHAGABAN GOLA,CPI(M),3,Post Graduate,Rs 7748935,~ 77 Lacs+,Rs 0,~
101,Jayanta Naskar,GOSABA (SC),AITC,3,8th Pass,Rs 9806074,~ 98 Lacs+,Rs 0,~
216,Sk Ibrahim Ali,PANSKURA PURBA,CPI(M),3,Graduate,Rs 49730,~ 49 Thou+,Rs 0,~
225,Sudip Kumar Mukherjee,PURULIA,INC,3,8th Pass,Rs 1157945,~ 11 Lacs+,Rs 0,~
229,Mohit Sengupta,RAIGANJ,INC,3,Graduate,Rs 6957793,~ 69 Lacs+,Rs 112062,~ 1 Lacs+
87,Bishwanath Parial,DURGAPUR PASCHIM,INC,3,12th Pass,Rs 3953547,~ 39 Lacs+,Rs 0,~
13,Arunava Sen(raja),BAGNAN,AITC,3,10th Pass,Rs 4187018,~ 41 Lacs+,Rs 404598,~ 4 Lacs+
6,Shafiul Alam Khan (banu Khan),KANDI : BYE ELECTION ON 19-05-2019,INC,4,12th Pass,Rs 5778620,~ 57 Lacs+,Rs 1217303,~ 12 Lacs+
277,Gouri Sankar Dutta,TEHATTA,AITC,4,Graduate,Rs 6527894,~ 65 Lacs+,Rs 707785,~ 7 Lacs+
150,Iqbal Ahmed,KHANAKUL,AITC,4,10th Pass,Rs 101099733,~ 10 Crore+,Rs 5100000,~ 51 Lacs+
102,Khagen Murmu,HABIBPUR (ST),CPI(M),4,Graduate,Rs 6269687,~ 62 Lacs+,Rs 211000,~ 2 Lacs+
11,Dulal Chandra Bar,BAGDA (SC),INC,4,Graduate,Rs 3926978,~ 39 Lacs+,Rs 48544,~ 48 Thou+
50,Dilip Mondal,BISHNUPUR (SC),AITC,4,12th Pass,Rs 19267197,~ 1 Crore+,Rs 3244784,~ 32 Lacs+
80,Dipak Kumar Halder,DIAMOND HARBOUR,AITC,4,Graduate,Rs 2494241,~ 24 Lacs+,Rs 0,~
138,Apurba Sarkar,KANDI,INC,4,12th Pass,Rs 43864422,~ 4 Crore+,Rs 2113335,~ 21 Lacs+
156,Ranajit Mondal,KHEJURI (SC),AITC,4,Graduate,Rs 2684127,~ 26 Lacs+,Rs 0,~
16,Idris Ali,ULUBERIA PURBA : BYE ELECTION ON 06-05-2019,AITC,4,Graduate Professional,Rs 22180028,~ 2 Crore+,Rs 0,~
213,Sk. Amjad Hossain,PANDUA,CPI(M),4,Graduate Professional,Rs 3044898,~ 30 Lacs+,Rs 460051,~ 4 Lacs+
261,Asok Narayan Bhattacharya,SILIGURI,CPI(M),5,Graduate,Rs 2721701,~ 27 Lacs+,Rs 0,~
13,Sunil Singh,NOAPARA : BYE ELECTION ON 29-01-2018,AITC,5,8th Pass,Rs 25658341,~ 2 Crore+,Rs 7711075,~ 77 Lacs+
133,Hasanuzzaman Sk,KALIGANJ,INC,5,12th Pass,Rs 15108048,~ 1 Crore+,Rs 0,~
241,Runu Dutta,RANIGANJ,CPI(M),5,10th Pass,Rs 1771756,~ 17 Lacs+,Rs 0,~
263,Jagadish Chandra Barma Basunia,SITAI (SC),AITC,5,Graduate Professional,Rs 12881223,~ 1 Crore+,Rs 0,~
4,Abdul Karim Chowdhary,ISLAMPUR : BYE ELECTION ON 19-05-2019,AITC,5,12th Pass,Rs 13040046,~ 1 Crore+,Rs 546459,~ 5 Lacs+
7,Moloy Ghatak,ASANSOL UTTAR,AITC,6,Graduate Professional,Rs 8809535,~ 88 Lacs+,Rs 2294431,~ 22 Lacs+
172,Namita Saha,MAGRAHAT PURBA (SC),AITC,6,Graduate Professional,Rs 5832918,~ 58 Lacs+,Rs 0,~
281,Pulak Roy,ULUBERIA DAKSHIN,AITC,6,Graduate,Rs 14121155,~ 1 Crore+,Rs 1468884,~ 14 Lacs+
116,Kanaia Lal Agarwal,ISLAMPUR,INC,6,Post Graduate,Rs 17204677,~ 1 Crore+,Rs 0,~
219,Samir Kumar Jana,PATHARPRATIMA,AITC,6,Post Graduate,Rs 2222764,~ 22 Lacs+,Rs 0,~
15,Swadhin Kumar Sarkar,BAISHNABNAGAR,BJP,7,Graduate,Rs 1175266,~ 11 Lacs+,Rs 0,~
6,Tapas Banerjee,ASANSOL DAKSHIN,AITC,7,Graduate Professional,Rs 2750270,~ 27 Lacs+,Rs 0,~
235,Akhil Giri,RAMNAGAR,AITC,8,12th Pass,Rs 4690856,~ 46 Lacs+,Rs 0,~
45,Arjun Singh,BHATPARA,AITC,11,10th Pass,Rs 4870447,~ 48 Lacs+,Rs 1100000,~ 11 Lacs+
17,Shantiram Mahato,BALARAMPUR,AITC,11,10th Pass,Rs 5393711,~ 53 Lacs+,Rs 0,~
149,Sekh Sahanawaz,KETUGRAM,AITC,15,12th Pass,Rs 2914169,~ 29 Lacs+,Rs 51700,~ 51 Thou+
12,Nepal Mahato,BAGHMUNDI,INC,21,Post Graduate,Rs 2800194,~ 28 Lacs+,Rs 833500,~ 8 Lacs+
108,Becharam Manna,HARIPAL,AITC,21,10th Pass,Rs 9041251,~ 90 Lacs+,Rs 0,~
