Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
195,Adhikary Paresh Chandra,MEKLIGANJ (SC),AITC,0,12th Pass,Rs 28327987,~ 2 Crore+,Rs 3877281,~ 38 Lacs+
198,Usha Rani Mondal,MINAKHAN (SC),AITC,0,8th Pass,Rs 11295786,~ 1 Crore+,Rs 3250000,~ 32 Lacs+
199,Apurba Chowdhury (Achal),MONGALKOTE,AITC,0,10th Pass,Rs 4768787,~ 47 Lacs+,Rs 0,~
200,Chowdhury Siddiqullah,MONTESWAR,AITC,0,Post Graduate,Rs 11931764,~ 1 Crore+,Rs 445905,~ 4 Lacs+
202,Ashoke Dinda,MOYNA,BJP,0,Graduate,Rs 75063577,~ 7 Crore+,Rs 18865905,~ 1 Crore+
203,Dr Mosarraf Hossain,MURARAI,AITC,0,Graduate Professional,Rs 35891748,~ 3 Crore+,Rs 1674628,~ 16 Lacs+
186,Sandhyarani Tudu,MANBAZAR (ST),AITC,0,10th Pass,Rs 2148082,~ 21 Lacs+,Rs 0,~
205,Pundarikakshya Saha,NABADWIP,AITC,0,Graduate,Rs 30423,~ 30 Thou+,Rs 0,~
155,Seuli Saha,KESHPUR (SC),AITC,0,Graduate Professional,Rs 19580822,~ 1 Crore+,Rs 128745,~ 1 Lacs+
153,Rabindranath Chatterjee,KATWA,AITC,0,Graduate,Rs 26405622,~ 2 Crore+,Rs 0,~
108,Dr. Asok Kumar Chattopadhyay,HANSAN,AITC,0,Post Graduate,Rs 147573994,~ 14 Crore+,Rs 15503000,~ 1 Crore+
111,Dr. Karabi Manna,HARIPAL,AITC,0,Others,Rs 21104407,~ 2 Crore+,Rs 1368413,~ 13 Lacs+
112,Biplab Mitra,HARIRAMPUR,AITC,0,Graduate Professional,Rs 22806282,~ 2 Crore+,Rs 908427,~ 9 Lacs+
113,Tajmul Hossain,HARISCHANDRAPUR,AITC,0,12th Pass,Rs 6879744,~ 68 Lacs+,Rs 0,~
114,Islam Sk Nurul (Haji),HAROA,AITC,0,12th Pass,Rs 12088119,~ 1 Crore+,Rs 0,~
