Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilites,Approx Liabilities
151,Atin Ghosh,KASHIPUR-BELGACHHIA,AITC,1,6,29948349,~ 2 Crore+,1964606,~ 19 Lacs+
152,Harakali Protiher,KATULPUR (SC),BJP,0,8,6641745,~ 66 Lacs+,3500000,~ 35 Lacs+
153,Rabindranath Chatterjee,KATWA,AITC,0,6,26405622,~ 2 Crore+,0,~
154,Paresh Murmu,KESHIARY (ST),AITC,0,6,4010329,~ 40 Lacs+,0,~
155,Seuli Saha,KESHPUR (SC),AITC,0,7,19580822,~ 1 Crore+,128745,~ 1 Lacs+
156,Sekh Sahonawez,KETUGRAM,AITC,6,4,13835826,~ 1 Crore+,0,~
157,Susanta Ghosh,KHANAKUL,BJP,2,3,3525746,~ 35 Lacs+,150000,~ 1 Lacs+
158,Nabin Chandra Bag,KHANDAGHOSH (SC),AITC,1,8,3009000,~ 30 Lacs+,0,~
159,Dinen Roy,KHARAGPUR,AITC,13,4,37019486,~ 3 Crore+,0,~
160,Hiranmoy Chattopadhyaya,KHARAGPUR SADAR,BJP,2,6,43710836,~ 4 Crore+,6093221,~ 60 Lacs+
161,Kajal Sinha,KHARDAHA,AITC,1,4,13101468,~ 1 Crore+,1606814,~ 16 Lacs+
162,Ashis Marjit,KHARGRAM (SC),AITC,1,4,5082686,~ 50 Lacs+,0,~
163,Santanu Pramanik,KHEJURI (SC),BJP,0,8,1084792,~ 10 Lacs+,61311,~ 61 Thou+
164,Firhad Hakim,KOLKATA PORT,AITC,1,6,133424256,~ 13 Crore+,8379885,~ 83 Lacs+
165,Ashis Kumar Biswas,KRISHNAGANJ (SC),BJP,1,4,8600365,~ 86 Lacs+,0,~
166,Ujjal Biswas,KRISHNANAGAR DAKSHIN,AITC,0,6,73029661,~ 7 Crore+,19771633,~ 1 Crore+
167,Mukul Roy,KRISHNANAGAR UTTAR,BJP,19,8,7916409,~ 79 Lacs+,0,~
168,Jogaranjan Halder,KULPI,AITC,0,7,12990857,~ 1 Crore+,115643,~ 1 Lacs+
169,Ganesh Chandra Mondal,KULTALI (SC),AITC,0,6,63301383,~ 6 Crore+,12392528,~ 1 Crore+
170,Ajay Kumar Poddar,KULTI,BJP,2,7,10513139,~ 1 Crore+,633822,~ 6 Lacs+
171,Toraf Hossain Mandal,KUMARGANJ,AITC,1,6,8537020,~ 85 Lacs+,0,~
172,Manoj Kumar Oraon,KUMARGRAM (ST),BJP,0,7,2696261,~ 26 Lacs+,0,~
173,Bishnu Prasad Sharma,KUEONG,BJP,7,3,2308645,~ 23 Lacs+,0,~
174,Rekha Roy,KUSHMANDI (SC),AITC,1,3,1673447,~ 16 Lacs+,338041,~ 3 Lacs+
175,Abhijit Sinha (Rana),LABPUR,AITC,0,8,10819918,~ 1 Crore+,0,~
176,Ali Mohammad,LALGOLA,AITC,1,8,41241096,~ 4 Crore+,2452000,~ 24 Lacs+
177,Manoj Tigga,MADARIHAT (ST),BJP,7,6,3202520,~ 32 Lacs+,1606911,~ 16 Lacs+
178,Rathin Ghosh,MADHYAMGRAM,AITC,0,4,5519581,~ 55 Lacs+,417060,~ 4 Lacs+
179,Gias Uddin Molla,MAGRAHAT PASCHIM,AITC,0,2,15716054,~ 1 Crore+,6363282,~ 63 Lacs+
180,Namita Saha,MAGRAHAT PURBA (SC),AITC,0,7,4286392,~ 42 Lacs+,0,~
181,Dulal Chandra Das,MAHESHTALA,AITC,0,2,137322155,~ 13 Crore+,21159750,~ 2 Crore+
182,Tilak Kumar Chakraborty,MAHISHADAL,AITC,2,6,7316584,~ 73 Lacs+,0,~
183,Bulu Chik Baraik,MAL (ST),AITC,0,2,575763,~ 5 Lacs+,0,~
184,Abdur Rahim Boxi,MALATIPUR,AITC,1,4,43403756,~ 4 Crore+,1077799,~ 10 Lacs+
185,Gopal Chandra Saha,MALDAHA (SC),BJP,0,6,24145751,~ 2 Crore+,1453440,~ 14 Lacs+
186,Sandhyarani Tudu,MANBAZAR (ST),AITC,0,3,2148082,~ 21 Lacs+,0,~
187,Joydeb Halder,MANDIRBAZAR (SC),AITC,2,3,3585560,~ 35 Lacs+,0,~
188,Sabitri Mitra,MANIKCHAK,AITC,0,3,6471908,~ 64 Lacs+,0,~
189,Sadhan Pande,MANIKTALA,AITC,0,7,58668291,~ 5 Crore+,0,~
190,Sushil Barman,MATHABHANGA (SC),BJP,2,6,1012680,~ 10 Lacs+,0,~
191,Anandamay Barman,MATIGARA-NAXALBARI (SC),BJP,1,8,11685645,~ 1 Crore+,1000000,~ 10 Lacs+
192,Kaushik Roy,MAYNAGURI (SC),BJP,4,4,4201141,~ 42 Lacs+,389779,~ 3 Lacs+
193,Abhijit Roy,MAYURESWAR,AITC,0,6,9166818,~ 91 Lacs+,0,~
194,June Maliah,MEDINIPUR,AITC,0,4,34449609,~ 3 Crore+,0,~
195,Adhikary Paresh Chandra,MEKLIGANJ (SC),AITC,0,4,28327987,~ 2 Crore+,3877281,~ 38 Lacs+
196,Madhusudan Bhattacharya,MEMARI,AITC,2,8,7837916,~ 78 Lacs+,0,~
197,Abdul Khaleque Molla,METIABURUZ,AITC,2,3,8345642,~ 83 Lacs+,229810,~ 2 Lacs+
198,Usha Rani Mondal,MINAKHAN (SC),AITC,0,2,11295786,~ 1 Crore+,3250000,~ 32 Lacs+
199,Apurba Chowdhury (Achal),MONGALKOTE,AITC,0,3,4768787,~ 47 Lacs+,0,~
200,Chowdhury Siddiqullah,MONTESWAR,AITC,0,8,11931764,~ 1 Crore+,445905,~ 4 Lacs+
201,Yeasmin Sabina,MOTHABARI,AITC,1,8,18813766,~ 1 Crore+,344315,~ 3 Lacs+
202,Ashoke Dinda,MOYNA,BJP,0,6,75063577,~ 7 Crore+,18865905,~ 1 Crore+
203,Dr Mosarraf Hossain,MURARAI,AITC,0,7,35891748,~ 3 Crore+,1674628,~ 16 Lacs+
204,Gouri Sankar Ghosh,MUHIDABAD,BJP,6,8,3424787,~ 34 Lacs+,0,~
205,Pundarikakshya Saha,NABADWIP,AITC,0,6,30423,~ 30 Thou+,0,~
206,Kanai Chandra Mondal,NABAGRAM (SC),AITC,9,6,6418387,~ 64 Lacs+,461000,~ 4 Lacs+
207,Puna Bhengra,NAGRAKATA (ST),BJP,1,3,1325061,~ 13 Lacs+,0,~
208,Partha Bhowmick,NAIHATI,AITC,1,8,25954078,~ 2 Crore+,6356074,~ 63 Lacs+
209,Kallol Khan,NAKASHIPARA,AITC,2,4,2508032,~ 25 Lacs+,860432,~ 8 Lacs+
210,Rajendra Prasad Singh (Raju Singh),NALHATI,AITC,0,2,8307999,~ 83 Lacs+,2843603,~ 28 Lacs+
211,Sukumar De,NANDAKUMAR,AITC,0,6,1428598,~ 14 Lacs+,0,~
212,Adhikari Suvendu,NANDIGRAM,BJP,1,8,10552749,~ 1 Crore+,0,~
213,Bidhan Chandra Majhi,NANOOR (SC),AITC,0,8,1873136,~ 18 Lacs+,2366807,~ 23 Lacs+
214,Atta Surja Kanta,NARAYANGARH,AITC,0,8,12280040,~ 1 Crore+,4000000,~ 40 Lacs+
215,Mihir Goswami,NATABARI,BJP,0,7,14005424,~ 1 Crore+,0,~
216,Dulal Murmu,NAYAGRAM (ST),AITC,0,8,12035096,~ 1 Crore+,0,~
217,Manju Basu,NOAPARA,AITC,0,7,9823417,~ 98 Lacs+,0,~
