Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
230,BILASIBALA SAHIS .,Para,CPM,0,7,Rs 577270,~ 5 Lacs+,Rs 0,~
231,JAJNESWAR DAS,Patharpratima,CPM,0,6,Rs 206858,~ 2 Lacs+,Rs 0,~
135,DHIRAJLAL HAZRA,Jamuria,CPM,0,4,Rs 1169521,~ 11 Lacs+,Rs 0,~
233,RAMPADA  SAMANTA,Pingla,DSP(P),0,8,Rs 1635947,~ 16 Lacs+,Rs 0,~
235,SUBRATA  BHOWAL,Purbasthali,CPM,0,4,Rs 575000,~ 5 Lacs+,Rs 160000,~ 1 Lacs+
236,SAUMENDRANATH BERA,Pursurah,CPM,0,10,Rs 865611,~ 8 Lacs+,Rs 0,~
237,NIKHIL MUKHERJEE,Purulia,CPM,0,6,Rs 1927544,~ 19 Lacs+,Rs 0,~
238,UMA RANI BOURI,Raghunathpur,CPM,0,4,Rs 464659,~ 4 Lacs+,Rs 0,~
239,CHITTA RANJAN RAY,Raiganj,INC,0,7,Rs 954128,~ 9 Lacs+,Rs 72110,~ 72 Thou+
240,SWAPAN SAMANTA,Raina,CPM,0,4,Rs 377744,~ 3 Lacs+,Rs 0,~
241,UPEN KISKU,Raipur,CPM,0,6,Rs 960500,~ 9 Lacs+,Rs 0,~
242,RABINDRANATH MANDAL,Rajarhat,CPM,0,6,Rs 3565458,~ 35 Lacs+,Rs 0,~
243,MAHENDRA KUMAR ROY,Rajganj,CPM,0,7,Rs 1470653,~ 14 Lacs+,Rs 26229,~ 26 Thou+
244,KHAGESWAR ROY,Rajganj : Bye-election on 07-11-2009,AITC,0,4,Rs 888442,~ 8 Lacs+,Rs 54604,~ 54 Thou+
245,BIJOY BAGDI,Rajnagar,AIFB,0,3,Rs 192556,~ 1 Lacs+,Rs 0,~
247,ASISH BANERJEE,Rampurhat,AITC,0,10,Rs 2200606,~ 22 Lacs+,Rs 2714,~ 2 Thou+
248,DEBENDRA NATH BISWAS,Ranaghat East,CPM,0,6,Rs 8472234,~ 84 Lacs+,Rs 227200,~ 2 Lacs+
249,ALOKE KUMAR DAS,Ranaghat West,CPM,0,8,Rs 142054,~ 1 Lacs+,Rs 0,~
234,SHAKTIPADA KHANRA,Polba,CPM,0,6,Rs 1335928,~ 13 Lacs+,Rs 21500,~ 21 Thou+
134,SAMAR HAZRA,Jamalpur,IND,0,3,Rs 346534,~ 3 Lacs+,Rs 13496,~ 13 Thou+
292,SWAPAN GHOSH,Vishnupur,CPM,0,3,Rs 127200,~ 1 Lacs+,Rs 50000,~ 50 Thou+
132,UNUS SARKAR,Jalangi,CPM,0,7,Rs 1290541,~ 12 Lacs+,Rs 450000,~ 4 Lacs+
37,MALA SAHA,Belgachia West,AITC,0,8,Rs 1415519,~ 14 Lacs+,Rs 235070,~ 2 Lacs+
38,MANABENDRA MUKHERJEE,Beliaghata,CPM,0,6,Rs 1567487,~ 15 Lacs+,Rs 32920,~ 32 Thou+
