79,Radhakanta Maiti,DEBRA,AITC,6,TwelfthPass,Rs 2137010,~ 21 Lacs+,Rs 0,~
80,M Nuruzzaman,DEGANGA,AITC,0,PostGraduate,Rs 3552500,~ 35 Lacs+,Rs 970000,~ 9 Lacs+
81,Asima Patra,DHANEKHALI (SC),AITC,3,Graduate,Rs 57000,~ 57 Thou+,Rs 0,~
82,Mamata Roy,DHUPGURI (SC),CPM,0,TenthPass,Rs 936156,~ 9 Lacs+,Rs 0,~
83,Dipak Kumar Halder,DIAMOND HARBOUR,AITC,3,Graduate,Rs 1857050,~ 18 Lacs+,Rs 0,~
84,Rajib Banerjee,DOMJUR,AITC,0,PostGraduate,Rs 5518526,~ 55 Lacs+,Rs 0,~
85,Anisur Rahaman Sarkar,DOMKAL,CPM,0,PostGraduate,Rs 8239726,~ 82 Lacs+,Rs 0,~
86,Bijoy Bagdi,DUBRAJPUR (SC),AIFB,0,TwelfthPass,Rs 1597475,~ 15 Lacs+,Rs 0,~
87,Bratyabrata Basu,DUM DUM,AITC,0,PostGraduate,Rs 7309801,~ 73 Lacs+,Rs 473916,~ 4 Lacs+
88,Chandrima Bhattacharya,DUM DUM UTTAR,AITC,1,GraduateProfessional,Rs 986250,~ 9 Lacs+,Rs 527000,~ 5 Lacs+
89,Apurba Mukherjee,DURGAPUR PASCHIM,AITC,0,Graduate,Rs 34137964,~ 3 Crore+,Rs 0,~
90,Dr. Nikhil Kr. Banerjee,DURGAPUR PURBA,AITC,0,GraduateProfessional,Rs 24678276,~ 2 Crore+,Rs 0,~
91,Samares Das,EGRA,AITC,0,PostGraduate,Rs 13980722,~ 1 Crore+,Rs 0,~
92,Krishnendu Narayan Choudhury,ENGLISH BAZAR,INC,6,GraduateProfessional,Rs 1604162,~ 16 Lacs+,Rs 14248,~ 14 Thou+
93,Swarna Kamal Saha,ENTALLY,AITC,0,GraduateProfessional,Rs 25583084,~ 2 Crore+,Rs 288000,~ 2 Lacs+
94,Anil Adhikari,FALAKATA (SC),AITC,0,TenthPass,Rs 1365505,~ 13 Lacs+,Rs 0,~
95,Tamonash Ghosh,FALTA,AITC,0,GraduateProfessional,Rs 6773745,~ 67 Lacs+,Rs 29901,~ 29 Thou+
96,Mainul Haque,FARAKKA,INC,2,TenthPass,Rs 7391042,~ 73 Lacs+,Rs 300000,~ 3 Lacs+
97,Manjul Krishna Thakur,GAIGHATA,AITC,0,Graduate,Rs 2811294,~ 28 Lacs+,Rs 0,~
98,Sunil Kr. Mondal,GALSI (SC),AIFB,0,GraduateProfessional,Rs 6467280,~ 64 Lacs+,Rs 850000,~ 8 Lacs+
99,Satyendra Nath Roy,GANGARAMPUR (SC),AITC,0,TenthPass,Rs 920060,~ 9 Lacs+,Rs 0,~
100,Susanta Ghosh,GARBETA,CPM,0,TwelfthPass,Rs 1642653,~ 16 Lacs+,Rs 0,~
101,Sushil Chandra Ray,GAZOLE (SC),INC,0,TwelfthPass,Rs 1159346,~ 11 Lacs+,Rs 0,~
102,Shankar Dolai,GHATAL (SC),AITC,2,Graduate,Rs 2143500,~ 21 Lacs+,Rs 80000,~ 80 Thou+
103,Md. Ghulam Rabbani,GOALPOKHAR,INC,0,PostGraduate,Rs 1575500,~ 15 Lacs+,Rs 250000,~ 2 Lacs+
104,Biswanath Karak,GOGHAT (SC),AIFB,7,TwelfthPass,Rs 981000,~ 9 Lacs+,Rs 0,~
105,Chudamani Mahato,GOPIBALLAVPUR,AITC,0,EighthPass,Rs 414920,~ 4 Lacs+,Rs 0,~
106,Jayanta Naskar,GOSABA (SC),AITC,1,EighthPass,Rs 3727303,~ 37 Lacs+,Rs 519390,~ 5 Lacs+
107,Khagen Murmu,HABIBPUR (ST),CPM,0,Graduate,Rs 4985423,~ 49 Lacs+,Rs 48910,~ 48 Thou+
108,Jyoti Priya Mallick,HABRA,AITC,0,GraduateProfessional,Rs 8026444,~ 80 Lacs+,Rs 306363,~ 3 Lacs+
109,Seuli Saha,HALDIA (SC),AITC,0,GraduateProfessional,Rs 7418849,~ 74 Lacs+,Rs 550000,~ 5 Lacs+
110,Asit Kumar Mal,HANSAN,INC,0,TwelfthPass,Rs 224419,~ 2 Lacs+,Rs 0,~
111,Insar Ali Biswas,HARIHARPARA,CPM,0,PostGraduate,Rs 1734183,~ 17 Lacs+,Rs 0,~
112,Nilima Nag (mallick),HARINGHATA (SC),AITC,0,TenthPass,Rs 3100000,~ 31 Lacs+,Rs 0,~
113,Becharam Manna,HARIPAL,AITC,22,TenthPass,Rs 1589895,~ 15 Lacs+,Rs 0,~
114,Biplab Mitra,HARIRAMPUR,AITC,0,GraduateProfessional,Rs 2550310,~ 25 Lacs+,Rs 2001854,~ 20 Lacs+
115,Tajmul Hossain,HARISCHANDRA-PUR,AIFB,0,TwelfthPass,Rs 3436784,~ 34 Lacs+,Rs 0,~
116,Julfikar @ Julficar Molla,HAROA,AITC,0,EighthPass,Rs 6574315,~ 65 Lacs+,Rs 889994,~ 8 Lacs+
117,Khagendra Nath Sinha,HEMTABAD (SC),CPM,0,TwelfthPass,Rs 1182329,~ 11 Lacs+,Rs 0,~
118,Anandamay Mandal,HINGALGANJ (SC),CPI,0,TwelfthPass,Rs 318000,~ 3 Lacs+,Rs 0,~
119,Braja Mohan Majumder,HOWRAH DAKSHIN,AITC,66,PostGraduate,Rs 2310216,~ 23 Lacs+,Rs 0,~
